Date,H2_ppm,CH4_ppm,C2H2_ppm,C2H4_ppm,C2H6_ppm,CO_ppm,CO2_ppm,O2_ppm,N2_ppm,TDCG,Status,Fault_Type
2016-01-15,45,35,0,18,22,150,720,17000,50500,270,Normal,None
2017-01-18,52,42,0,22,28,165,785,16700,50200,309,Normal,None
2018-01-20,65,55,1,32,38,185,865,16300,49800,376,Caution,None
2019-01-22,85,72,2,48,52,210,965,15800,49300,469,Warning,Possible_Thermal
2020-01-25,120,98,3,72,68,255,1120,15200,48700,616,Warning,Thermal_Fault
2021-01-28,185,145,4,110,95,320,1350,14500,48000,859,Critical,Core_Heating
2021-07-15,280,195,5,155,125,385,1520,13800,47200,1145,Critical,Core_Fault
2022-01-20,420,265,6,210,168,435,1680,13100,46500,1504,Critical,Core_Ground
2022-07-25,580,342,7,285,215,485,1820,12400,45800,1914,Critical,Core_Ground
2023-01-28,750,425,8,365,275,535,1950,11700,45100,2358,Critical,Core_Ground
2023-08-02,920,512,9,455,345,595,2085,11000,44400,2836,Critical,Core_Ground
2024-02-05,1050,580,10,535,405,645,2215,10300,43700,3225,Critical,Core_Ground
2024-08-10,1150,635,11,605,455,695,2345,9600,43000,3551,Critical,Core_Ground
2025-01-12,1250,380,8,420,320,420,1850,10500,44200,2798,Critical,Core_Ground
