Date,H2_ppm,CH4_ppm,C2H2_ppm,C2H4_ppm,C2H6_ppm,CO_ppm,CO2_ppm,Moisture_ppm,BDV_kV,Status
2020-01-15,28,18,0,8,12,95,580,12,68,Normal
2020-07-20,32,22,0,10,15,102,615,14,66,Normal
2021-01-18,35,25,0,12,18,108,648,16,64,Normal
2021-07-22,38,28,0,14,21,115,682,18,62,Normal
2022-01-20,42,32,0,16,24,122,718,22,58,Caution
2022-07-25,48,38,0,20,28,132,765,26,54,Caution
2023-01-22,55,45,0,25,34,145,825,32,48,Warning
2023-07-28,62,52,0,30,40,158,885,38,44,Warning
2024-01-25,72,58,0,36,46,168,945,42,40,Warning
2024-07-30,78,62,0,40,50,175,985,45,38,Warning
2025-01-12,85,52,0,35,42,165,980,48,35,Warning
