Date,H2_ppm,CH4_ppm,C2H2_ppm,C2H4_ppm,C2H6_ppm,CO_ppm,CO2_ppm,PD_pC,Status
2016-01-15,55,42,2,28,35,185,920,50,Normal
2017-01-18,72,55,5,38,45,215,1020,120,Caution
2018-01-20,95,72,8,52,58,255,1150,280,Warning
2019-01-22,125,92,12,72,75,295,1320,450,Warning
2020-01-25,165,118,18,98,95,345,1520,680,Critical
2021-01-28,215,142,22,125,115,385,1680,920,Critical
2022-02-01,285,165,28,155,138,425,1820,1250,Critical
2023-02-04,365,188,32,185,158,465,1950,1680,Critical
2024-02-06,445,205,35,215,175,505,2080,2150,Critical
2025-01-12,485,165,35,180,155,380,1680,2400,Critical
