Date,H2_ppm,CH4_ppm,C2H2_ppm,C2H4_ppm,C2H6_ppm,CO_ppm,CO2_ppm,LTC_Operations,Status
2016-01-15,85,62,3,42,48,165,820,125000,Normal
2017-01-18,105,78,5,58,62,195,920,142000,Caution
2018-01-20,135,98,7,78,82,235,1050,158000,Warning
2019-01-22,165,118,9,98,102,275,1180,175000,Warning
2020-01-25,198,142,10,122,125,315,1320,192000,Warning
2021-01-28,235,165,11,148,148,355,1450,210000,Warning
2022-02-01,275,188,12,175,172,395,1580,228000,Warning
2023-02-04,312,208,13,198,195,435,1710,246000,Warning
2024-02-06,348,228,14,222,218,475,1840,264000,Warning
2025-01-12,320,185,12,195,185,295,1520,275000,Warning
